Tournament,Date,Series,Surface,Round,Winner,Loser,pl1_flag,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_weight,pl2_height,pl2_hand
Citi Open,2019-08-04,ATP500,Hard,Semifinals,Nick Kyrgios,Stefanos Tsitsipas,AUS,85,193,Right-Handed,GRE,83,193,Right-Handed
Citi Open,2019-08-04,ATP500,Hard,The Final,Nick Kyrgios,Daniil Medvedev,AUS,85,193,Right-Handed,RUS,81,198,Right-Handed
Rogers Masters,2019-08-06,Masters 1000,Hard,1st Round,Daniel Evans,Alex de Minaur,GBR,75,175,Right-Handed,AUS,69,180,Right-Handed
Rogers Masters,2019-08-06,Masters 1000,Hard,1st Round,Hubert Hurkacz,Taylor Fritz,ITA,77,188,Right-Handed,USA,84,193,Right-Handed
Rogers Masters,2019-08-07,Masters 1000,Hard,2nd Round,Alexander Zverev,Cameron Norrie,GER,86,198,Right-Handed,GBR,80,188,Left-Handed
Rogers Masters,2019-08-07,Masters 1000,Hard,2nd Round,Rafael Nadal,Daniel Evans,ESP,85,185,Left-Handed,GBR,75,175,Right-Handed
Rogers Masters,2019-08-07,Masters 1000,Hard,2nd Round,Roberto Bautista Agut,Diego Schwartzman,ESP,76,183,Right-Handed,ARG,64,170,Right-Handed
Rogers Masters,2019-08-07,Masters 1000,Hard,2nd Round,Hubert Hurkacz,Stefanos Tsitsipas,ITA,77,188,Right-Handed,GRE,83,193,Right-Handed
Rogers Masters,2019-08-08,Masters 1000,Hard,3rd Round,Karen Khachanov,Felix Auger-Aliassime,RUS,88,198,Right-Handed,CAN,84,188,Right-Handed
Rogers Masters,2019-08-09,Masters 1000,Hard,Quarterfinals,Karen Khachanov,Alexander Zverev,RUS,88,198,Right-Handed,GER,86,198,Right-Handed
Rogers Masters,2019-08-10,Masters 1000,Hard,Semifinals,Daniil Medvedev,Karen Khachanov,RUS,81,198,Right-Handed,RUS,88,198,Right-Handed
Rogers Masters,2019-08-11,Masters 1000,Hard,The Final,Rafael Nadal,Daniil Medvedev,ESP,85,185,Left-Handed,RUS,81,198,Right-Handed
Western & Southern Financial Group Masters,2019-08-12,Masters 1000,Hard,1st Round,Miomir Kecmanovic,Felix Auger-Aliassime,SRB,75,183,Right-Handed,CAN,84,188,Right-Handed
Western & Southern Financial Group Masters,2019-08-13,Masters 1000,Hard,1st Round,Roberto Bautista Agut,Hubert Hurkacz,ESP,76,183,Right-Handed,ITA,77,188,Right-Handed
Western & Southern Financial Group Masters,2019-08-14,Masters 1000,Hard,2nd Round,Miomir Kecmanovic,Alexander Zverev,SRB,75,183,Right-Handed,GER,86,198,Right-Handed
Western & Southern Financial Group Masters,2019-08-15,Masters 1000,Hard,2nd Round,Roberto Bautista Agut,Frances Tiafoe,ESP,76,183,Right-Handed,USA,77,188,Right-Handed
Western & Southern Financial Group Masters,2019-08-15,Masters 1000,Hard,2nd Round,Karen Khachanov,Nick Kyrgios,RUS,88,198,Right-Handed,AUS,85,193,Right-Handed
Western & Southern Financial Group Masters,2019-08-15,Masters 1000,Hard,3rd Round,Roberto Bautista Agut,Miomir Kecmanovic,ESP,76,183,Right-Handed,SRB,75,183,Right-Handed
Western & Southern Financial Group Masters,2019-08-16,Masters 1000,Hard,3rd Round,Novak Djokovic,Pablo Carreno Busta,SRB,77,188,Right-Handed,ESP,78,188,Right-Handed
Western & Southern Financial Group Masters,2019-08-17,Masters 1000,Hard,Quarterfinals,Daniil Medvedev,Andrey Rublev,RUS,81,198,Right-Handed,RUS,68,188,Right-Handed
Western & Southern Financial Group Masters,2019-08-17,Masters 1000,Hard,Semifinals,Daniil Medvedev,Novak Djokovic,RUS,81,198,Right-Handed,SRB,77,188,Right-Handed
Winston-Salem Open at Wake Forest University,2019-08-21,ATP250,Hard,3rd Round,Denis Shapovalov,Miomir Kecmanovic,CAN,76,183,Left-Handed,SRB,75,183,Right-Handed
Winston-Salem Open at Wake Forest University,2019-08-23,ATP250,Hard,Quarterfinals,Denis Shapovalov,Andrey Rublev,CAN,76,183,Left-Handed,RUS,68,188,Right-Handed
Winston-Salem Open at Wake Forest University,2019-08-23,ATP250,Hard,Quarterfinals,Hubert Hurkacz,Frances Tiafoe,ITA,77,188,Right-Handed,USA,77,188,Right-Handed
Winston-Salem Open at Wake Forest University,2019-08-24,ATP250,Hard,Semifinals,Hubert Hurkacz,Denis Shapovalov,ITA,77,188,Right-Handed,CAN,76,183,Left-Handed
US Open,2019-08-27,Grand Slam,Hard,1st Round,Andrey Rublev,Stefanos Tsitsipas,RUS,68,188,Right-Handed,GRE,83,193,Right-Handed
US Open,2019-08-27,Grand Slam,Hard,1st Round,Denis Shapovalov,Felix Auger-Aliassime,CAN,76,183,Left-Handed,CAN,84,188,Right-Handed
US Open,2019-08-28,Grand Slam,Hard,2nd Round,Grigor Dimitrov,Borna Coric,BUL,80,191,Right-Handed,CRO,79,185,Right-Handed
US Open,2019-08-29,Grand Slam,Hard,2nd Round,Alexander Zverev,Frances Tiafoe,GER,86,198,Right-Handed,USA,77,188,Right-Handed
US Open,2019-09-01,Grand Slam,Hard,3rd Round,Andrey Rublev,Nick Kyrgios,RUS,68,188,Right-Handed,AUS,85,193,Right-Handed
US Open,2019-09-01,Grand Slam,Hard,4th Round,Grigor Dimitrov,Alex de Minaur,BUL,80,191,Right-Handed,AUS,69,180,Right-Handed
US Open,2019-09-02,Grand Slam,Hard,4th Round,Diego Schwartzman,Alexander Zverev,ARG,64,170,Right-Handed,GER,86,198,Right-Handed
US Open,2019-09-02,Grand Slam,Hard,4th Round,Matteo Berrettini,Andrey Rublev,ITA,95,196,Right-Handed,RUS,68,188,Right-Handed
US Open,2019-09-03,Grand Slam,Hard,4th Round,Rafael Nadal,Marin Cilic,ESP,85,185,Left-Handed,CRO,89,198,Right-Handed
US Open,2019-09-05,Grand Slam,Hard,Quarterfinals,Rafael Nadal,Diego Schwartzman,ESP,85,185,Left-Handed,ARG,64,170,Right-Handed
US Open,2019-09-06,Grand Slam,Hard,Semifinals,Daniil Medvedev,Grigor Dimitrov,RUS,81,198,Right-Handed,BUL,80,191,Right-Handed
US Open,2019-09-07,Grand Slam,Hard,Semifinals,Rafael Nadal,Matteo Berrettini,ESP,85,185,Left-Handed,ITA,95,196,Right-Handed
US Open,2019-09-08,Grand Slam,Hard,The Final,Rafael Nadal,Daniil Medvedev,ESP,85,185,Left-Handed,RUS,81,198,Right-Handed
St. Petersburg Open,2019-09-20,ATP250,Hard,Quarterfinals,Borna Coric,Casper Ruud,CRO,79,185,Right-Handed,NOR,77,183,Right-Handed
St. Petersburg Open,2019-09-20,ATP250,Hard,Quarterfinals,Daniil Medvedev,Andrey Rublev,RUS,81,198,Right-Handed,RUS,68,188,Right-Handed
St. Petersburg Open,2019-09-22,ATP250,Hard,The Final,Daniil Medvedev,Borna Coric,RUS,81,198,Right-Handed,CRO,79,185,Right-Handed
Chengdu Open,2019-09-26,ATP250,Hard,2nd Round,Grigor Dimitrov,Daniel Evans,BUL,80,191,Right-Handed,GBR,75,175,Right-Handed
Chengdu Open,2019-09-28,ATP250,Hard,Semifinals,Pablo Carreno Busta,Denis Shapovalov,ESP,78,188,Right-Handed,CAN,76,183,Left-Handed
Zhuhai Open,2019-09-24,ATP250,Hard,1st Round,Miomir Kecmanovic,Casper Ruud,SRB,75,183,Right-Handed,NOR,77,183,Right-Handed
Zhuhai Open,2019-09-27,ATP250,Hard,Quarterfinals,Alex de Minaur,Borna Coric,AUS,69,180,Right-Handed,CRO,79,185,Right-Handed
Zhuhai Open,2019-09-28,ATP250,Hard,Semifinals,Alex de Minaur,Roberto Bautista Agut,AUS,69,180,Right-Handed,ESP,76,183,Right-Handed
China Open,2019-09-30,ATP500,Hard,1st Round,Andrey Rublev,Grigor Dimitrov,RUS,68,188,Right-Handed,BUL,80,191,Right-Handed
China Open,2019-09-30,ATP500,Hard,1st Round,Alexander Zverev,Frances Tiafoe,GER,86,198,Right-Handed,USA,77,188,Right-Handed
China Open,2019-10-03,ATP500,Hard,2nd Round,Alexander Zverev,Felix Auger-Aliassime,GER,86,198,Right-Handed,CAN,84,188,Right-Handed
China Open,2019-10-05,ATP500,Hard,Semifinals,Stefanos Tsitsipas,Alexander Zverev,GRE,83,193,Right-Handed,GER,86,198,Right-Handed
Rakuten Japan Open Tennis Championships,2019-10-01,ATP500,Hard,1st Round,Denis Shapovalov,Miomir Kecmanovic,CAN,76,183,Left-Handed,SRB,75,183,Right-Handed
Shanghai Masters,2019-10-07,Masters 1000,Hard,1st Round,Denis Shapovalov,Frances Tiafoe,CAN,76,183,Left-Handed,USA,77,188,Right-Handed
Shanghai Masters,2019-10-08,Masters 1000,Hard,1st Round,Andrey Rublev,Borna Coric,RUS,68,188,Right-Handed,CRO,79,185,Right-Handed
Shanghai Masters,2019-10-08,Masters 1000,Hard,2nd Round,Daniil Medvedev,Cameron Norrie,RUS,81,198,Right-Handed,GBR,80,188,Left-Handed
Shanghai Masters,2019-10-09,Masters 1000,Hard,2nd Round,Stefanos Tsitsipas,Felix Auger-Aliassime,GRE,83,193,Right-Handed,CAN,84,188,Right-Handed
Shanghai Masters,2019-10-09,Masters 1000,Hard,2nd Round,Karen Khachanov,Taylor Fritz,RUS,88,198,Right-Handed,USA,84,193,Right-Handed
Shanghai Masters,2019-10-09,Masters 1000,Hard,2nd Round,Novak Djokovic,Denis Shapovalov,SRB,77,188,Right-Handed,CAN,76,183,Left-Handed
Shanghai Masters,2019-10-10,Masters 1000,Hard,3rd Round,Matteo Berrettini,Roberto Bautista Agut,ITA,95,196,Right-Handed,ESP,76,183,Right-Handed
Shanghai Masters,2019-10-10,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Hubert Hurkacz,GRE,83,193,Right-Handed,ITA,77,188,Right-Handed
Shanghai Masters,2019-10-10,Masters 1000,Hard,3rd Round,Alexander Zverev,Andrey Rublev,GER,86,198,Right-Handed,RUS,68,188,Right-Handed
Shanghai Masters,2019-10-11,Masters 1000,Hard,Quarterfinals,Stefanos Tsitsipas,Novak Djokovic,GRE,83,193,Right-Handed,SRB,77,188,Right-Handed
Shanghai Masters,2019-10-12,Masters 1000,Hard,Semifinals,Daniil Medvedev,Stefanos Tsitsipas,RUS,81,198,Right-Handed,GRE,83,193,Right-Handed
Shanghai Masters,2019-10-12,Masters 1000,Hard,Semifinals,Alexander Zverev,Matteo Berrettini,GER,86,198,Right-Handed,ITA,95,196,Right-Handed
Shanghai Masters,2019-10-13,Masters 1000,Hard,The Final,Daniil Medvedev,Alexander Zverev,RUS,81,198,Right-Handed,GER,86,198,Right-Handed
European Open,2019-10-18,ATP250,Hard,Quarterfinals,Jannik Sinner,Frances Tiafoe,ITA,76,188,Right-Handed,USA,77,188,Right-Handed
Kremlin Cup,2019-10-19,ATP250,Hard,Semifinals,Andrey Rublev,Marin Cilic,RUS,68,188,Right-Handed,CRO,89,198,Right-Handed
Swiss Indoors,2019-10-22,ATP500,Hard,1st Round,Taylor Fritz,Alexander Zverev,USA,84,193,Right-Handed,GER,86,198,Right-Handed
Swiss Indoors,2019-10-23,ATP500,Hard,1st Round,Frances Tiafoe,Daniel Evans,USA,77,188,Right-Handed,GBR,75,175,Right-Handed
Swiss Indoors,2019-10-23,ATP500,Hard,2nd Round,Alex de Minaur,Taylor Fritz,AUS,69,180,Right-Handed,USA,84,193,Right-Handed
Erste Bank Open,2019-10-21,ATP500,Hard,1st Round,Karen Khachanov,Hubert Hurkacz,RUS,88,198,Right-Handed,ITA,77,188,Right-Handed
Erste Bank Open,2019-10-23,ATP500,Hard,1st Round,Pablo Carreno Busta,Denis Shapovalov,ESP,78,188,Right-Handed,CAN,76,183,Left-Handed
Erste Bank Open,2019-10-23,ATP500,Hard,2nd Round,Matteo Berrettini,Grigor Dimitrov,ITA,95,196,Right-Handed,BUL,80,191,Right-Handed
Erste Bank Open,2019-10-25,ATP500,Hard,Quarterfinals,Matteo Berrettini,Andrey Rublev,ITA,95,196,Right-Handed,RUS,68,188,Right-Handed
Erste Bank Open,2019-10-25,ATP500,Hard,Quarterfinals,Diego Schwartzman,Karen Khachanov,ARG,64,170,Right-Handed,RUS,88,198,Right-Handed
BNP Paribas Masters,2019-10-28,Masters 1000,Hard,1st Round,Marin Cilic,Hubert Hurkacz,CRO,89,198,Right-Handed,ITA,77,188,Right-Handed
BNP Paribas Masters,2019-10-29,Masters 1000,Hard,1st Round,Taylor Fritz,Frances Tiafoe,USA,84,193,Right-Handed,USA,77,188,Right-Handed
BNP Paribas Masters,2019-10-30,Masters 1000,Hard,2nd Round,Stefanos Tsitsipas,Taylor Fritz,GRE,83,193,Right-Handed,USA,84,193,Right-Handed
BNP Paribas Masters,2019-10-30,Masters 1000,Hard,2nd Round,Alex de Minaur,Roberto Bautista Agut,AUS,69,180,Right-Handed,ESP,76,183,Right-Handed
BNP Paribas Masters,2019-10-31,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Alex de Minaur,GRE,83,193,Right-Handed,AUS,69,180,Right-Handed
BNP Paribas Masters,2019-10-31,Masters 1000,Hard,3rd Round,Denis Shapovalov,Alexander Zverev,CAN,76,183,Left-Handed,GER,86,198,Right-Handed
BNP Paribas Masters,2019-11-01,Masters 1000,Hard,Quarterfinals,Novak Djokovic,Stefanos Tsitsipas,SRB,77,188,Right-Handed,GRE,83,193,Right-Handed
BNP Paribas Masters,2019-11-02,Masters 1000,Hard,Semifinals,Novak Djokovic,Grigor Dimitrov,SRB,77,188,Right-Handed,BUL,80,191,Right-Handed
BNP Paribas Masters,2019-11-02,Masters 1000,Hard,Semifinals,Denis Shapovalov,Rafael Nadal,CAN,76,183,Left-Handed,ESP,85,185,Left-Handed
BNP Paribas Masters,2019-11-03,Masters 1000,Hard,The Final,Novak Djokovic,Denis Shapovalov,SRB,77,188,Right-Handed,CAN,76,183,Left-Handed
Masters Cup,2019-11-10,Masters Cup,Hard,Round Robin,Novak Djokovic,Matteo Berrettini,SRB,77,188,Right-Handed,ITA,95,196,Right-Handed
Masters Cup,2019-11-11,Masters Cup,Hard,Round Robin,Stefanos Tsitsipas,Daniil Medvedev,GRE,83,193,Right-Handed,RUS,81,198,Right-Handed
Masters Cup,2019-11-11,Masters Cup,Hard,Round Robin,Alexander Zverev,Rafael Nadal,GER,86,198,Right-Handed,ESP,85,185,Left-Handed
Masters Cup,2019-11-13,Masters Cup,Hard,Round Robin,Rafael Nadal,Daniil Medvedev,ESP,85,185,Left-Handed,RUS,81,198,Right-Handed
Masters Cup,2019-11-13,Masters Cup,Hard,Round Robin,Stefanos Tsitsipas,Alexander Zverev,GRE,83,193,Right-Handed,GER,86,198,Right-Handed
Masters Cup,2019-11-15,Masters Cup,Hard,Round Robin,Rafael Nadal,Stefanos Tsitsipas,ESP,85,185,Left-Handed,GRE,83,193,Right-Handed
Masters Cup,2019-11-15,Masters Cup,Hard,Round Robin,Alexander Zverev,Daniil Medvedev,GER,86,198,Right-Handed,RUS,81,198,Right-Handed
Brisbane International,2018-01-06,ATP250,Hard,Semifinals,Nick Kyrgios,Grigor Dimitrov,AUS,85,193,Right-Handed,BUL,80,191,Right-Handed
Qatar Exxon Mobil Open,2018-01-02,ATP250,Hard,1st Round,Borna Coric,Pablo Carreno Busta,CRO,79,185,Right-Handed,ESP,78,188,Right-Handed
Qatar Exxon Mobil Open,2018-01-04,ATP250,Hard,Quarterfinals,Andrey Rublev,Borna Coric,RUS,68,188,Right-Handed,CRO,79,185,Right-Handed
Sydney International,2018-01-13,ATP250,Hard,The Final,Daniil Medvedev,Alex de Minaur,RUS,81,198,Right-Handed,AUS,69,180,Right-Handed
Australian Open,2018-01-15,Grand Slam,Hard,1st Round,Denis Shapovalov,Stefanos Tsitsipas,CAN,76,183,Left-Handed,GRE,83,193,Right-Handed
Australian Open,2018-01-17,Grand Slam,Hard,2nd Round,Diego Schwartzman,Casper Ruud,ARG,64,170,Right-Handed,NOR,77,183,Right-Handed
Australian Open,2018-01-19,Grand Slam,Hard,3rd Round,Grigor Dimitrov,Andrey Rublev,BUL,80,191,Right-Handed,RUS,68,188,Right-Handed
Australian Open,2018-01-21,Grand Slam,Hard,4th Round,Marin Cilic,Pablo Carreno Busta,CRO,89,198,Right-Handed,ESP,78,188,Right-Handed
Australian Open,2018-01-21,Grand Slam,Hard,4th Round,Rafael Nadal,Diego Schwartzman,ESP,85,185,Left-Handed,ARG,64,170,Right-Handed
Australian Open,2018-01-21,Grand Slam,Hard,4th Round,Grigor Dimitrov,Nick Kyrgios,BUL,80,191,Right-Handed,AUS,85,193,Right-Handed
Australian Open,2018-01-23,Grand Slam,Hard,Quarterfinals,Marin Cilic,Rafael Nadal,CRO,89,198,Right-Handed,ESP,85,185,Left-Handed
ABN AMRO World Tennis Tournament,2018-02-16,ATP500,Hard,Quarterfinals,Grigor Dimitrov,Andrey Rublev,BUL,80,191,Right-Handed,RUS,68,188,Right-Handed
Delray Beach Open,2018-02-23,ATP250,Hard,Quarterfinals,Denis Shapovalov,Taylor Fritz,CAN,76,183,Left-Handed,USA,84,193,Right-Handed
Delray Beach Open,2018-02-25,ATP250,Hard,Semifinals,Frances Tiafoe,Denis Shapovalov,USA,77,188,Right-Handed,CAN,76,183,Left-Handed
Open 13,2018-02-22,ATP250,Hard,2nd Round,Karen Khachanov,Alexander Zverev,RUS,88,198,Right-Handed,GER,88,191,Left-Handed
Rio Open,2018-02-20,ATP500,Clay,1st Round,Diego Schwartzman,Casper Ruud,ARG,64,170,Right-Handed,NOR,77,183,Right-Handed
Dubai Tennis Championships,2018-03-01,ATP500,Hard,Quarterfinals,Roberto Bautista Agut,Borna Coric,ESP,76,183,Right-Handed,CRO,79,185,Right-Handed
BNP Paribas Open,2018-03-10,Masters 1000,Hard,2nd Round,Taylor Fritz,Andrey Rublev,USA,84,193,Right-Handed,RUS,68,188,Right-Handed
BNP Paribas Open,2018-03-10,Masters 1000,Hard,2nd Round,Daniil Medvedev,Matteo Berrettini,RUS,81,198,Right-Handed,ITA,95,196,Right-Handed
BNP Paribas Open,2018-03-12,Masters 1000,Hard,3rd Round,Pablo Carreno Busta,Daniil Medvedev,ESP,78,188,Right-Handed,RUS,81,198,Right-Handed
BNP Paribas Open,2018-03-12,Masters 1000,Hard,3rd Round,Borna Coric,Roberto Bautista Agut,CRO,79,185,Right-Handed,ESP,76,183,Right-Handed
BNP Paribas Open,2018-03-14,Masters 1000,Hard,4th Round,Borna Coric,Taylor Fritz,CRO,79,185,Right-Handed,USA,84,193,Right-Handed
Sony Ericsson Open,2018-03-22,Masters 1000,Hard,1st Round,Daniil Medvedev,Stefanos Tsitsipas,RUS,81,198,Right-Handed,GRE,83,193,Right-Handed
Sony Ericsson Open,2018-03-24,Masters 1000,Hard,2nd Round,Alexander Zverev,Daniil Medvedev,GER,86,198,Right-Handed,RUS,81,198,Right-Handed
Sony Ericsson Open,2018-03-27,Masters 1000,Hard,4th Round,Borna Coric,Denis Shapovalov,CRO,79,185,Right-Handed,CAN,76,183,Left-Handed
Sony Ericsson Open,2018-03-28,Masters 1000,Hard,4th Round,Alexander Zverev,Nick Kyrgios,GER,86,198,Right-Handed,AUS,85,193,Right-Handed
Sony Ericsson Open,2018-03-30,Masters 1000,Hard,Quarterfinals,Alexander Zverev,Borna Coric,GER,86,198,Right-Handed,CRO,79,185,Right-Handed
Sony Ericsson Open,2018-03-31,Masters 1000,Hard,Semifinals,Alexander Zverev,Pablo Carreno Busta,GER,86,198,Right-Handed,ESP,78,188,Right-Handed
Monte Carlo Masters,2018-04-15,Masters 1000,Clay,1st Round,Alexander Zverev,Felix Auger-Aliassime,GER,88,191,Left-Handed,CAN,84,188,Right-Handed
Monte Carlo Masters,2018-04-16,Masters 1000,Clay,1st Round,Stefanos Tsitsipas,Denis Shapovalov,GRE,83,193,Right-Handed,CAN,76,183,Left-Handed
Monte Carlo Masters,2018-04-18,Masters 1000,Clay,2nd Round,Novak Djokovic,Borna Coric,SRB,77,188,Right-Handed,CRO,79,185,Right-Handed
Monte Carlo Masters,2018-04-19,Masters 1000,Clay,3rd Round,Rafael Nadal,Karen Khachanov,ESP,85,185,Left-Handed,RUS,88,198,Right-Handed
Monte Carlo Masters,2018-04-21,Masters 1000,Clay,Semifinals,Rafael Nadal,Grigor Dimitrov,ESP,85,185,Left-Handed,BUL,80,191,Right-Handed
Open Banco Sabadell ,2018-04-25,ATP500,Clay,2nd Round,Stefanos Tsitsipas,Diego Schwartzman,GRE,83,193,Right-Handed,ARG,64,170,Right-Handed
Open Banco Sabadell ,2018-04-27,ATP500,Clay,Quarterfinals,Pablo Carreno Busta,Grigor Dimitrov,ESP,78,188,Right-Handed,BUL,80,191,Right-Handed
Open Banco Sabadell ,2018-04-28,ATP500,Clay,Semifinals,Stefanos Tsitsipas,Pablo Carreno Busta,GRE,83,193,Right-Handed,ESP,78,188,Right-Handed
Open Banco Sabadell ,2018-04-29,ATP500,Clay,The Final,Rafael Nadal,Stefanos Tsitsipas,ESP,85,185,Left-Handed,GRE,83,193,Right-Handed
Millennium Estoril Open,2018-05-05,ATP250,Clay,Semifinals,Frances Tiafoe,Pablo Carreno Busta,USA,77,188,Right-Handed,ESP,78,188,Right-Handed
BMW Open,2018-05-03,ATP250,Clay,2nd Round,Roberto Bautista Agut,Casper Ruud,ESP,76,183,Right-Handed,NOR,77,183,Right-Handed
Mutua Madrid Open,2018-05-08,Masters 1000,Clay,1st Round,Borna Coric,Pablo Carreno Busta,CRO,79,185,Right-Handed,ESP,78,188,Right-Handed
Mutua Madrid Open,2018-05-10,Masters 1000,Clay,3rd Round,Rafael Nadal,Diego Schwartzman,ESP,85,185,Left-Handed,ARG,64,170,Right-Handed
Mutua Madrid Open,2018-05-12,Masters 1000,Clay,Semifinals,Alexander Zverev,Denis Shapovalov,GER,86,198,Right-Handed,CAN,76,183,Left-Handed
Internazionali BNL d'Italia,2018-05-14,Masters 1000,Clay,1st Round,Matteo Berrettini,Frances Tiafoe,ITA,95,196,Right-Handed,USA,77,188,Right-Handed
Internazionali BNL d'Italia,2018-05-15,Masters 1000,Clay,1st Round,Stefanos Tsitsipas,Borna Coric,GRE,83,193,Right-Handed,CRO,79,185,Right-Handed
Internazionali BNL d'Italia,2018-05-16,Masters 1000,Clay,2nd Round,Alexander Zverev,Matteo Berrettini,GER,86,198,Right-Handed,ITA,95,196,Right-Handed
Internazionali BNL d'Italia,2018-05-17,Masters 1000,Clay,3rd Round,Rafael Nadal,Denis Shapovalov,ESP,85,185,Left-Handed,CAN,76,183,Left-Handed
Internazionali BNL d'Italia,2018-05-18,Masters 1000,Clay,Quarterfinals,Marin Cilic,Pablo Carreno Busta,CRO,89,198,Right-Handed,ESP,78,188,Right-Handed
Internazionali BNL d'Italia,2018-05-19,Masters 1000,Clay,Semifinals,Rafael Nadal,Novak Djokovic,ESP,85,185,Left-Handed,SRB,77,188,Right-Handed
Internazionali BNL d'Italia,2018-05-19,Masters 1000,Clay,Semifinals,Alexander Zverev,Marin Cilic,GER,86,198,Right-Handed,CRO,89,198,Right-Handed
Internazionali BNL d'Italia,2018-05-20,Masters 1000,Clay,The Final,Rafael Nadal,Alexander Zverev,ESP,85,185,Left-Handed,GER,86,198,Right-Handed
French Open,2018-05-31,Grand Slam,Clay,2nd Round,Marin Cilic,Hubert Hurkacz,CRO,89,198,Right-Handed,ITA,77,188,Right-Handed
French Open,2018-06-01,Grand Slam,Clay,3rd Round,Novak Djokovic,Roberto Bautista Agut,SRB,77,188,Right-Handed,ESP,76,183,Right-Handed
French Open,2018-06-02,Grand Slam,Clay,3rd Round,Diego Schwartzman,Borna Coric,ARG,64,170,Right-Handed,CRO,79,185,Right-Handed
French Open,2018-06-03,Grand Slam,Clay,4th Round,Alexander Zverev,Karen Khachanov,GER,86,198,Right-Handed,RUS,88,198,Right-Handed
French Open,2018-06-07,Grand Slam,Clay,Quarterfinals,Rafael Nadal,Diego Schwartzman,ESP,85,185,Left-Handed,ARG,64,170,Right-Handed
Gerry Weber Open,2018-06-19,ATP500,Grass,1st Round,Karen Khachanov,Alexander Zverev,RUS,88,198,Right-Handed,GER,88,191,Left-Handed
Gerry Weber Open,2018-06-19,ATP500,Grass,1st Round,Borna Coric,Alexander Zverev,CRO,79,185,Right-Handed,GER,86,198,Right-Handed
Gerry Weber Open,2018-06-22,ATP500,Grass,Quarterfinals,Roberto Bautista Agut,Karen Khachanov,ESP,76,183,Right-Handed,RUS,88,198,Right-Handed
Gerry Weber Open,2018-06-23,ATP500,Grass,Semifinals,Borna Coric,Roberto Bautista Agut,CRO,79,185,Right-Handed,ESP,76,183,Right-Handed
AEGON Championships,2018-06-21,ATP500,Grass,2nd Round,Novak Djokovic,Grigor Dimitrov,SRB,77,188,Right-Handed,BUL,80,191,Right-Handed
AEGON Championships,2018-06-23,ATP500,Grass,Semifinals,Marin Cilic,Nick Kyrgios,CRO,89,198,Right-Handed,AUS,85,193,Right-Handed
AEGON Championships,2018-06-24,ATP500,Grass,The Final,Marin Cilic,Novak Djokovic,CRO,89,198,Right-Handed,SRB,77,188,Right-Handed
Eastbourne International,2018-06-28,ATP250,Grass,Quarterfinals,Alexander Zverev,Denis Shapovalov,GER,88,191,Left-Handed,CAN,76,183,Left-Handed
Wimbledon,2018-07-02,Grand Slam,Grass,1st Round,Daniil Medvedev,Borna Coric,RUS,81,198,Right-Handed,CRO,79,185,Right-Handed
Wimbledon,2018-07-06,Grand Slam,Grass,2nd Round,Alexander Zverev,Taylor Fritz,GER,86,198,Right-Handed,USA,84,193,Right-Handed
Wimbledon,2018-07-07,Grand Slam,Grass,3rd Round,Rafael Nadal,Alex de Minaur,ESP,85,185,Left-Handed,AUS,69,180,Right-Handed
Wimbledon,2018-07-07,Grand Slam,Grass,3rd Round,Karen Khachanov,Frances Tiafoe,RUS,88,198,Right-Handed,USA,77,188,Right-Handed
Wimbledon,2018-07-09,Grand Slam,Grass,4th Round,Novak Djokovic,Karen Khachanov,SRB,77,188,Right-Handed,RUS,88,198,Right-Handed
Wimbledon,2018-07-14,Grand Slam,Grass,Semifinals,Novak Djokovic,Rafael Nadal,SRB,77,188,Right-Handed,ESP,85,185,Left-Handed
Croatia Open,2018-07-19,ATP250,Clay,2nd Round,Andrey Rublev,Felix Auger-Aliassime,RUS,68,188,Right-Handed,CAN,84,188,Right-Handed
BB&T Atlanta Open,2018-07-23,ATP250,Hard,1st Round,Alex de Minaur,Hubert Hurkacz,AUS,69,180,Right-Handed,ITA,77,188,Right-Handed
BB&T Atlanta Open,2018-07-28,ATP250,Hard,Quarterfinals,Cameron Norrie,Nick Kyrgios,GBR,80,188,Left-Handed,AUS,85,193,Right-Handed
Suisse Open Gstaad,2018-07-25,ATP250,Clay,2nd Round,Matteo Berrettini,Andrey Rublev,ITA,95,196,Right-Handed,RUS,68,188,Right-Handed
Suisse Open Gstaad,2018-07-29,ATP250,Clay,The Final,Matteo Berrettini,Roberto Bautista Agut,ITA,95,196,Right-Handed,ESP,76,183,Right-Handed
German Tennis Championships,2018-07-23,ATP500,Clay,1st Round,Diego Schwartzman,Casper Ruud,ARG,64,170,Right-Handed,NOR,77,183,Right-Handed
Citi Open,2018-08-01,ATP500,Hard,2nd Round,Frances Tiafoe,Hubert Hurkacz,USA,77,188,Right-Handed,ITA,77,188,Right-Handed
Citi Open,2018-08-01,ATP500,Hard,2nd Round,Denis Shapovalov,Daniil Medvedev,CAN,76,183,Left-Handed,RUS,81,198,Right-Handed
Citi Open,2018-08-02,ATP500,Hard,2nd Round,Andrey Rublev,Tommy Paul,RUS,68,188,Right-Handed,USA,78,185,Right-Handed
Citi Open,2018-08-03,ATP500,Hard,3rd Round,Alexander Zverev,Alexander Zverev,GER,86,198,Right-Handed,GER,88,191,Left-Handed
