Tournament,Date,Series,Surface,Round,Winner,Loser
Masters Cup,2021-11-16,Masters Cup,Hard,Round Robin,Daniil Medvedev,Alexander Zverev
Masters Cup,2021-11-16,Masters Cup,Hard,Round Robin,Jannik Sinner,Hubert Hurkacz
Masters Cup,2021-11-17,Masters Cup,Hard,Round Robin,Novak Djokovic,Andrey Rublev
Masters Cup,2021-11-17,Masters Cup,Hard,Round Robin,Casper Ruud,Cameron Norrie
Masters Cup,2021-11-18,Masters Cup,Hard,Round Robin,Alexander Zverev,Hubert Hurkacz
Masters Cup,2021-11-18,Masters Cup,Hard,Round Robin,Daniil Medvedev,Jannik Sinner
Masters Cup,2021-11-19,Masters Cup,Hard,Round Robin,Casper Ruud,Andrey Rublev
Masters Cup,2021-11-19,Masters Cup,Hard,Round Robin,Novak Djokovic,Cameron Norrie
Masters Cup,2021-11-20,Masters Cup,Hard,Semifinals,Daniil Medvedev,Casper Ruud
Masters Cup,2021-11-20,Masters Cup,Hard,Semifinals,Alexander Zverev,Novak Djokovic
Masters Cup,2021-11-21,Masters Cup,Hard,The Final,Alexander Zverev,Daniil Medvedev
Qatar Exxon Mobil Open,2020-01-10,ATP250,Hard,Semifinals,Andrey Rublev,Miomir Kecmanovic
ASB Classic,2020-01-16,ATP250,Hard,Quarterfinals,Andrey Rublev,Daniel Evans
ASB Classic,2020-01-17,ATP250,Hard,Semifinals,Andrey Rublev,Felix Auger-Aliassime
Australian Open,2020-01-21,Grand Slam,Hard,1st Round,Daniil Medvedev,Frances Tiafoe
Australian Open,2020-01-22,Grand Slam,Hard,2nd Round,Diego Schwartzman,Alejandro Davidovich Fokina
Australian Open,2020-01-22,Grand Slam,Hard,2nd Round,Tommy Paul,Grigor Dimitrov
Australian Open,2020-01-24,Grand Slam,Hard,3rd Round,Marin Cilic,Roberto Bautista Agut
Australian Open,2020-01-25,Grand Slam,Hard,3rd Round,Rafael Nadal,Pablo Carreno Busta
Australian Open,2020-01-25,Grand Slam,Hard,3rd Round,Nick Kyrgios,Karen Khachanov
Australian Open,2020-01-26,Grand Slam,Hard,4th Round,Novak Djokovic,Diego Schwartzman
Australian Open,2020-01-27,Grand Slam,Hard,4th Round,Rafael Nadal,Nick Kyrgios
Australian Open,2020-01-27,Grand Slam,Hard,4th Round,Alexander Zverev,Andrey Rublev
New York Open,2020-02-10,ATP250,Hard,1st Round,Miomir Kecmanovic,Tommy Paul
ABN AMRO World Tennis Tournament,2020-02-10,ATP500,Hard,1st Round,Grigor Dimitrov,Denis Shapovalov
ABN AMRO World Tennis Tournament,2020-02-11,ATP500,Hard,1st Round,Stefanos Tsitsipas,Hubert Hurkacz
ABN AMRO World Tennis Tournament,2020-02-12,ATP500,Hard,2nd Round,Pablo Carreno Busta,Roberto Bautista Agut
ABN AMRO World Tennis Tournament,2020-02-12,ATP500,Hard,2nd Round,Daniel Evans,Karen Khachanov
ABN AMRO World Tennis Tournament,2020-02-12,ATP500,Hard,2nd Round,Felix Auger-Aliassime,Grigor Dimitrov
ABN AMRO World Tennis Tournament,2020-02-14,ATP500,Hard,Quarterfinals,Pablo Carreno Busta,Jannik Sinner
ABN AMRO World Tennis Tournament,2020-02-15,ATP500,Hard,Semifinals,Felix Auger-Aliassime,Pablo Carreno Busta
Delray Beach Open,2020-02-18,ATP250,Hard,1st Round,Cameron Norrie,Taylor Fritz
Delray Beach Open,2020-02-20,ATP250,Hard,2nd Round,Frances Tiafoe,Tommy Paul
Open 13,2020-02-20,ATP250,Hard,2nd Round,Denis Shapovalov,Marin Cilic
Open 13,2020-02-20,ATP250,Hard,2nd Round,Daniil Medvedev,Jannik Sinner
Open 13,2020-02-23,ATP250,Hard,The Final,Stefanos Tsitsipas,Felix Auger-Aliassime
Abierto Mexicano,2020-02-25,ATP500,Hard,1st Round,Miomir Kecmanovic,Alex de Minaur
Abierto Mexicano,2020-02-27,ATP500,Hard,2nd Round,Tommy Paul,Alexander Zverev
Abierto Mexicano,2020-02-27,ATP500,Hard,2nd Round,Rafael Nadal,Miomir Kecmanovic
Abierto Mexicano,2020-02-29,ATP500,Hard,Semifinals,Rafael Nadal,Grigor Dimitrov
Abierto Mexicano,2020-03-01,ATP500,Hard,The Final,Rafael Nadal,Taylor Fritz
Dubai Tennis Championships,2020-02-24,ATP500,Hard,1st Round,Andrey Rublev,Lorenzo Musetti
Dubai Tennis Championships,2020-02-25,ATP500,Hard,1st Round,Stefanos Tsitsipas,Pablo Carreno Busta
Dubai Tennis Championships,2020-02-27,ATP500,Hard,Quarterfinals,Daniel Evans,Andrey Rublev
Dubai Tennis Championships,2020-02-27,ATP500,Hard,Quarterfinals,Novak Djokovic,Karen Khachanov
Dubai Tennis Championships,2020-02-28,ATP500,Hard,Semifinals,Stefanos Tsitsipas,Daniel Evans
Dubai Tennis Championships,2020-02-29,ATP500,Hard,The Final,Novak Djokovic,Stefanos Tsitsipas
Western & Southern Financial Group Masters,2020-08-23,Masters 1000,Hard,1st Round,Denis Shapovalov,Marin Cilic
Western & Southern Financial Group Masters,2020-08-23,Masters 1000,Hard,1st Round,Diego Schwartzman,Casper Ruud
Western & Southern Financial Group Masters,2020-08-23,Masters 1000,Hard,1st Round,Daniel Evans,Andrey Rublev
Western & Southern Financial Group Masters,2020-08-24,Masters 1000,Hard,2nd Round,Karen Khachanov,Pablo Carreno Busta
Western & Southern Financial Group Masters,2020-08-25,Masters 1000,Hard,3rd Round,Roberto Bautista Agut,Karen Khachanov
Western & Southern Financial Group Masters,2020-08-26,Masters 1000,Hard,Quarterfinals,Roberto Bautista Agut,Daniil Medvedev
Western & Southern Financial Group Masters,2020-08-28,Masters 1000,Hard,Semifinals,Novak Djokovic,Roberto Bautista Agut
US Open,2020-08-31,Grand Slam,Hard,1st Round,Cameron Norrie,Diego Schwartzman
US Open,2020-09-01,Grand Slam,Hard,1st Round,Karen Khachanov,Jannik Sinner
US Open,2020-09-02,Grand Slam,Hard,1st Round,Grigor Dimitrov,Tommy Paul
US Open,2020-09-02,Grand Slam,Hard,2nd Round,Alejandro Davidovich Fokina,Hubert Hurkacz
US Open,2020-09-03,Grand Slam,Hard,2nd Round,Roberto Bautista Agut,Miomir Kecmanovic
US Open,2020-09-04,Grand Slam,Hard,3rd Round,Alejandro Davidovich Fokina,Cameron Norrie
US Open,2020-09-04,Grand Slam,Hard,3rd Round,Denis Shapovalov,Taylor Fritz
US Open,2020-09-05,Grand Slam,Hard,3rd Round,Borna Coric,Stefanos Tsitsipas
US Open,2020-09-05,Grand Slam,Hard,3rd Round,Alex de Minaur,Karen Khachanov
US Open,2020-09-05,Grand Slam,Hard,3rd Round,Matteo Berrettini,Casper Ruud
US Open,2020-09-06,Grand Slam,Hard,4th Round,Alexander Zverev,Alejandro Davidovich Fokina
US Open,2020-09-06,Grand Slam,Hard,4th Round,Pablo Carreno Busta,Novak Djokovic
US Open,2020-09-08,Grand Slam,Hard,4th Round,Andrey Rublev,Matteo Berrettini
US Open,2020-09-08,Grand Slam,Hard,4th Round,Daniil Medvedev,Frances Tiafoe
US Open,2020-09-08,Grand Slam,Hard,Quarterfinals,Alexander Zverev,Borna Coric
US Open,2020-09-09,Grand Slam,Hard,Quarterfinals,Pablo Carreno Busta,Denis Shapovalov
US Open,2020-09-09,Grand Slam,Hard,Quarterfinals,Daniil Medvedev,Andrey Rublev
US Open,2020-09-11,Grand Slam,Hard,Semifinals,Alexander Zverev,Pablo Carreno Busta
Internazionali BNL d'Italia,2020-09-14,Masters 1000,Clay,1st Round,Casper Ruud,Karen Khachanov
Internazionali BNL d'Italia,2020-09-14,Masters 1000,Clay,1st Round,Hubert Hurkacz,Daniel Evans
Internazionali BNL d'Italia,2020-09-16,Masters 1000,Clay,2nd Round,Jannik Sinner,Stefanos Tsitsipas
Internazionali BNL d'Italia,2020-09-16,Masters 1000,Clay,2nd Round,Rafael Nadal,Pablo Carreno Busta
Internazionali BNL d'Italia,2020-09-17,Masters 1000,Clay,2nd Round,Hubert Hurkacz,Andrey Rublev
Internazionali BNL d'Italia,2020-09-18,Masters 1000,Clay,3rd Round,Grigor Dimitrov,Jannik Sinner
Internazionali BNL d'Italia,2020-09-18,Masters 1000,Clay,3rd Round,Casper Ruud,Marin Cilic
Internazionali BNL d'Italia,2020-09-18,Masters 1000,Clay,3rd Round,Diego Schwartzman,Hubert Hurkacz
Internazionali BNL d'Italia,2020-09-19,Masters 1000,Clay,Quarterfinals,Casper Ruud,Matteo Berrettini
Internazionali BNL d'Italia,2020-09-19,Masters 1000,Clay,Quarterfinals,Denis Shapovalov,Grigor Dimitrov
Internazionali BNL d'Italia,2020-09-19,Masters 1000,Clay,Quarterfinals,Diego Schwartzman,Rafael Nadal
Internazionali BNL d'Italia,2020-09-20,Masters 1000,Clay,Semifinals,Novak Djokovic,Casper Ruud
Internazionali BNL d'Italia,2020-09-20,Masters 1000,Clay,Semifinals,Diego Schwartzman,Denis Shapovalov
Internazionali BNL d'Italia,2020-09-21,Masters 1000,Clay,The Final,Novak Djokovic,Diego Schwartzman
German Tennis Championships,2020-09-23,ATP500,Clay,1st Round,Stefanos Tsitsipas,Daniel Evans
German Tennis Championships,2020-09-23,ATP500,Clay,2nd Round,Andrey Rublev,Tommy Paul
German Tennis Championships,2020-09-25,ATP500,Clay,Quarterfinals,Andrey Rublev,Roberto Bautista Agut
German Tennis Championships,2020-09-26,ATP500,Clay,Semifinals,Andrey Rublev,Casper Ruud
German Tennis Championships,2020-09-27,ATP500,Clay,The Final,Andrey Rublev,Stefanos Tsitsipas
French Open,2020-09-27,Grand Slam,Clay,1st Round,Diego Schwartzman,Miomir Kecmanovic
French Open,2020-09-30,Grand Slam,Clay,2nd Round,Casper Ruud,Tommy Paul
French Open,2020-10-01,Grand Slam,Clay,2nd Round,Andrey Rublev,Alejandro Davidovich Fokina
French Open,2020-10-03,Grand Slam,Clay,3rd Round,Pablo Carreno Busta,Roberto Bautista Agut
French Open,2020-10-04,Grand Slam,Clay,4th Round,Jannik Sinner,Alexander Zverev
French Open,2020-10-05,Grand Slam,Clay,4th Round,Stefanos Tsitsipas,Grigor Dimitrov
French Open,2020-10-05,Grand Slam,Clay,4th Round,Novak Djokovic,Karen Khachanov
French Open,2020-10-06,Grand Slam,Clay,Quarterfinals,Rafael Nadal,Jannik Sinner
French Open,2020-10-07,Grand Slam,Clay,Quarterfinals,Stefanos Tsitsipas,Andrey Rublev
French Open,2020-10-07,Grand Slam,Clay,Quarterfinals,Novak Djokovic,Pablo Carreno Busta
French Open,2020-10-09,Grand Slam,Clay,Semifinals,Rafael Nadal,Diego Schwartzman
French Open,2020-10-09,Grand Slam,Clay,Semifinals,Novak Djokovic,Stefanos Tsitsipas
French Open,2020-10-11,Grand Slam,Clay,The Final,Rafael Nadal,Novak Djokovic
bett1HULKS Indoors,2020-10-14,ATP250,Hard,2nd Round,Hubert Hurkacz,Alexander Zverev
bett1HULKS Indoors,2020-10-15,ATP250,Hard,2nd Round,Alejandro Davidovich Fokina,Marin Cilic
bett1HULKS Indoors,2020-10-16,ATP250,Hard,Quarterfinals,Roberto Bautista Agut,Hubert Hurkacz
bett1HULKS Indoors,2020-10-17,ATP250,Hard,Semifinals,Alexander Zverev,Alejandro Davidovich Fokina
bett1HULKS Indoors,2020-10-17,ATP250,Hard,Semifinals,Felix Auger-Aliassime,Roberto Bautista Agut
bett1HULKS Indoors,2020-10-18,ATP250,Hard,The Final,Alexander Zverev,Felix Auger-Aliassime
St. Petersburg Open,2020-10-12,ATP250,Hard,1st Round,Cameron Norrie,Taylor Fritz
St. Petersburg Open,2020-10-14,ATP250,Hard,2nd Round,Cameron Norrie,Miomir Kecmanovic
St. Petersburg Open,2020-10-16,ATP250,Hard,Quarterfinals,Andrey Rublev,Cameron Norrie
St. Petersburg Open,2020-10-17,ATP250,Hard,Semifinals,Andrey Rublev,Denis Shapovalov
St. Petersburg Open,2020-10-18,ATP250,Hard,The Final,Andrey Rublev,Borna Coric
European Open,2020-10-21,ATP250,Hard,2nd Round,Daniel Evans,Frances Tiafoe
European Open,2020-10-23,ATP250,Hard,Quarterfinals,Daniel Evans,Karen Khachanov
European Open,2020-10-24,ATP250,Hard,Semifinals,Alex de Minaur,Grigor Dimitrov
bett1HULKS Championship,2020-10-23,ATP250,Hard,Quarterfinals,Diego Schwartzman,Alejandro Davidovich Fokina
bett1HULKS Championship,2020-10-24,ATP250,Hard,Semifinals,Alexander Zverev,Jannik Sinner
bett1HULKS Championship,2020-10-24,ATP250,Hard,Semifinals,Diego Schwartzman,Felix Auger-Aliassime
bett1HULKS Championship,2020-10-25,ATP250,Hard,The Final,Alexander Zverev,Diego Schwartzman
Astana Open,2020-10-28,ATP250,Hard,2nd Round,Frances Tiafoe,Miomir Kecmanovic
Erste Bank Open,2020-10-26,ATP500,Hard,1st Round,Borna Coric,Taylor Fritz
Erste Bank Open,2020-10-27,ATP500,Hard,1st Round,Grigor Dimitrov,Karen Khachanov
Erste Bank Open,2020-10-28,ATP500,Hard,1st Round,Jannik Sinner,Casper Ruud
Erste Bank Open,2020-10-28,ATP500,Hard,2nd Round,Novak Djokovic,Borna Coric
Erste Bank Open,2020-10-29,ATP500,Hard,2nd Round,Andrey Rublev,Jannik Sinner
Erste Bank Open,2020-10-29,ATP500,Hard,2nd Round,Grigor Dimitrov,Stefanos Tsitsipas
Erste Bank Open,2020-10-30,ATP500,Hard,Quarterfinals,Daniel Evans,Grigor Dimitrov
BNP Paribas Masters,2020-11-02,Masters 1000,Hard,1st Round,Marin Cilic,Felix Auger-Aliassime
BNP Paribas Masters,2020-11-02,Masters 1000,Hard,1st Round,Alejandro Davidovich Fokina,Karen Khachanov
BNP Paribas Masters,2020-11-04,Masters 1000,Hard,2nd Round,Alexander Zverev,Miomir Kecmanovic
BNP Paribas Masters,2020-11-05,Masters 1000,Hard,3rd Round,Diego Schwartzman,Alejandro Davidovich Fokina
BNP Paribas Masters,2020-11-05,Masters 1000,Hard,3rd Round,Daniil Medvedev,Alex de Minaur
BNP Paribas Masters,2020-11-06,Masters 1000,Hard,Quarterfinals,Daniil Medvedev,Diego Schwartzman
BNP Paribas Masters,2020-11-06,Masters 1000,Hard,Quarterfinals,Rafael Nadal,Pablo Carreno Busta
BNP Paribas Masters,2020-11-07,Masters 1000,Hard,Semifinals,Alexander Zverev,Rafael Nadal
BNP Paribas Masters,2020-11-08,Masters 1000,Hard,The Final,Daniil Medvedev,Alexander Zverev
Sofia Open,2020-11-12,ATP250,Hard,Quarterfinals,Jannik Sinner,Alex de Minaur
Masters Cup,2020-11-15,Masters Cup,Hard,Round Robin,Rafael Nadal,Andrey Rublev
Masters Cup,2020-11-16,Masters Cup,Hard,Round Robin,Novak Djokovic,Diego Schwartzman
Masters Cup,2020-11-16,Masters Cup,Hard,Round Robin,Daniil Medvedev,Alexander Zverev
Masters Cup,2020-11-17,Masters Cup,Hard,Round Robin,Stefanos Tsitsipas,Andrey Rublev
Masters Cup,2020-11-18,Masters Cup,Hard,Round Robin,Alexander Zverev,Diego Schwartzman
Masters Cup,2020-11-18,Masters Cup,Hard,Round Robin,Daniil Medvedev,Novak Djokovic
Masters Cup,2020-11-19,Masters Cup,Hard,Round Robin,Rafael Nadal,Stefanos Tsitsipas
Masters Cup,2020-11-20,Masters Cup,Hard,Round Robin,Novak Djokovic,Alexander Zverev
Masters Cup,2020-11-20,Masters Cup,Hard,Round Robin,Daniil Medvedev,Diego Schwartzman
Masters Cup,2020-11-21,Masters Cup,Hard,Semifinals,Daniil Medvedev,Rafael Nadal
Qatar Exxon Mobil Open,2018-12-31,ATP250,Hard,1st Round,Roberto Bautista Agut,Matteo Berrettini
Qatar Exxon Mobil Open,2019-01-04,ATP250,Hard,Semifinals,Roberto Bautista Agut,Novak Djokovic
ASB Classic,2019-01-10,ATP250,Hard,Quarterfinals,Cameron Norrie,Taylor Fritz
Australian Open,2019-01-14,Grand Slam,Hard,1st Round,Stefanos Tsitsipas,Matteo Berrettini
Australian Open,2019-01-14,Grand Slam,Hard,1st Round,Taylor Fritz,Cameron Norrie
Australian Open,2019-01-18,Grand Slam,Hard,3rd Round,Roberto Bautista Agut,Karen Khachanov
Australian Open,2019-01-18,Grand Slam,Hard,3rd Round,Rafael Nadal,Alex de Minaur
Australian Open,2019-01-19,Grand Slam,Hard,3rd Round,Novak Djokovic,Denis Shapovalov
Australian Open,2019-01-20,Grand Slam,Hard,4th Round,Frances Tiafoe,Grigor Dimitrov
Australian Open,2019-01-20,Grand Slam,Hard,4th Round,Roberto Bautista Agut,Marin Cilic
Australian Open,2019-01-21,Grand Slam,Hard,4th Round,Novak Djokovic,Daniil Medvedev
Australian Open,2019-01-22,Grand Slam,Hard,Quarterfinals,Stefanos Tsitsipas,Roberto Bautista Agut
Australian Open,2019-01-22,Grand Slam,Hard,Quarterfinals,Rafael Nadal,Frances Tiafoe
Australian Open,2019-01-24,Grand Slam,Hard,Semifinals,Rafael Nadal,Stefanos Tsitsipas
Australian Open,2019-01-27,Grand Slam,Hard,The Final,Novak Djokovic,Rafael Nadal
Sofia Open,2019-02-06,ATP250,Hard,2nd Round,Matteo Berrettini,Karen Khachanov
Delray Beach Open,2019-02-19,ATP250,Hard,1st Round,Daniel Evans,Frances Tiafoe
Open 13,2019-02-20,ATP250,Hard,2nd Round,Stefanos Tsitsipas,Hubert Hurkacz
Open 13,2019-02-21,ATP250,Hard,2nd Round,Andrey Rublev,Matteo Berrettini
Abierto Mexicano,2019-02-27,ATP500,Hard,1st Round,Rafael Nadal,Alexander Zverev
Abierto Mexicano,2019-02-28,ATP500,Hard,2nd Round,Cameron Norrie,Diego Schwartzman
Abierto Mexicano,2019-02-28,ATP500,Hard,2nd Round,Nick Kyrgios,Rafael Nadal
Abierto Mexicano,2019-03-01,ATP500,Hard,Quarterfinals,Alexander Zverev,Alex de Minaur
Abierto Mexicano,2019-03-02,ATP500,Hard,Semifinals,Alexander Zverev,Cameron Norrie
Abierto Mexicano,2019-03-03,ATP500,Hard,The Final,Nick Kyrgios,Alexander Zverev
Dubai Tennis Championships,2019-02-28,ATP500,Hard,Quarterfinals,Stefanos Tsitsipas,Hubert Hurkacz
BNP Paribas Open,2019-03-07,Masters 1000,Hard,1st Round,Felix Auger-Aliassime,Cameron Norrie
BNP Paribas Open,2019-03-09,Masters 1000,Hard,2nd Round,Felix Auger-Aliassime,Stefanos Tsitsipas
BNP Paribas Open,2019-03-12,Masters 1000,Hard,3rd Round,Denis Shapovalov,Marin Cilic
BNP Paribas Open,2019-03-12,Masters 1000,Hard,3rd Round,Rafael Nadal,Diego Schwartzman
BNP Paribas Open,2019-03-12,Masters 1000,Hard,3rd Round,Karen Khachanov,Andrey Rublev
BNP Paribas Open,2019-03-13,Masters 1000,Hard,4th Round,Hubert Hurkacz,Denis Shapovalov
BNP Paribas Open,2019-03-15,Masters 1000,Hard,Quarterfinals,Rafael Nadal,Karen Khachanov
Sony Ericsson Open,2019-03-20,Masters 1000,Hard,1st Round,Hubert Hurkacz,Matteo Berrettini
Sony Ericsson Open,2019-03-21,Masters 1000,Hard,1st Round,Felix Auger-Aliassime,Casper Ruud
Sony Ericsson Open,2019-03-23,Masters 1000,Hard,2nd Round,Denis Shapovalov,Daniel Evans
Sony Ericsson Open,2019-03-23,Masters 1000,Hard,2nd Round,Andrey Rublev,Marin Cilic
Sony Ericsson Open,2019-03-23,Masters 1000,Hard,2nd Round,Frances Tiafoe,Miomir Kecmanovic
Sony Ericsson Open,2019-03-24,Masters 1000,Hard,3rd Round,Felix Auger-Aliassime,Hubert Hurkacz
Sony Ericsson Open,2019-03-25,Masters 1000,Hard,3rd Round,Denis Shapovalov,Andrey Rublev
Sony Ericsson Open,2019-03-26,Masters 1000,Hard,4th Round,Borna Coric,Nick Kyrgios
Sony Ericsson Open,2019-03-26,Masters 1000,Hard,4th Round,Roberto Bautista Agut,Novak Djokovic
Sony Ericsson Open,2019-03-27,Masters 1000,Hard,4th Round,Denis Shapovalov,Stefanos Tsitsipas
Sony Ericsson Open,2019-03-28,Masters 1000,Hard,Quarterfinals,Felix Auger-Aliassime,Borna Coric
Sony Ericsson Open,2019-03-28,Masters 1000,Hard,Quarterfinals,Denis Shapovalov,Frances Tiafoe
Monte Carlo Masters,2019-04-14,Masters 1000,Clay,1st Round,Borna Coric,Hubert Hurkacz
Monte Carlo Masters,2019-04-14,Masters 1000,Clay,1st Round,Grigor Dimitrov,Matteo Berrettini
Monte Carlo Masters,2019-04-17,Masters 1000,Clay,2nd Round,Taylor Fritz,Diego Schwartzman
Monte Carlo Masters,2019-04-17,Masters 1000,Clay,2nd Round,Alexander Zverev,Felix Auger-Aliassime
Monte Carlo Masters,2019-04-17,Masters 1000,Clay,2nd Round,Rafael Nadal,Roberto Bautista Agut
Monte Carlo Masters,2019-04-18,Masters 1000,Clay,3rd Round,Daniil Medvedev,Stefanos Tsitsipas
Monte Carlo Masters,2019-04-18,Masters 1000,Clay,3rd Round,Novak Djokovic,Taylor Fritz
Monte Carlo Masters,2019-04-18,Masters 1000,Clay,3rd Round,Rafael Nadal,Grigor Dimitrov
Monte Carlo Masters,2019-04-19,Masters 1000,Clay,Quarterfinals,Daniil Medvedev,Novak Djokovic
Millennium Estoril Open,2019-04-30,ATP250,Clay,1st Round,Alejandro Davidovich Fokina,Taylor Fritz
BMW Open,2019-05-05,ATP250,Clay,Semifinals,Matteo Berrettini,Roberto Bautista Agut
Mutua Madrid Open,2019-05-05,Masters 1000,Clay,1st Round,Felix Auger-Aliassime,Denis Shapovalov
Mutua Madrid Open,2019-05-06,Masters 1000,Clay,1st Round,Taylor Fritz,Grigor Dimitrov
Mutua Madrid Open,2019-05-07,Masters 1000,Clay,1st Round,Hubert Hurkacz,Alex de Minaur
Mutua Madrid Open,2019-05-07,Masters 1000,Clay,2nd Round,Novak Djokovic,Taylor Fritz
Mutua Madrid Open,2019-05-08,Masters 1000,Clay,2nd Round,Rafael Nadal,Felix Auger-Aliassime
Mutua Madrid Open,2019-05-09,Masters 1000,Clay,3rd Round,Alexander Zverev,Hubert Hurkacz
Mutua Madrid Open,2019-05-09,Masters 1000,Clay,3rd Round,Rafael Nadal,Frances Tiafoe
Mutua Madrid Open,2019-05-10,Masters 1000,Clay,Quarterfinals,Novak Djokovic,Marin Cilic
Mutua Madrid Open,2019-05-10,Masters 1000,Clay,Quarterfinals,Stefanos Tsitsipas,Alexander Zverev
Mutua Madrid Open,2019-05-11,Masters 1000,Clay,Semifinals,Stefanos Tsitsipas,Rafael Nadal
Mutua Madrid Open,2019-05-12,Masters 1000,Clay,The Final,Novak Djokovic,Stefanos Tsitsipas
Internazionali BNL d'Italia,2019-05-13,Masters 1000,Clay,1st Round,Borna Coric,Felix Auger-Aliassime
Internazionali BNL d'Italia,2019-05-13,Masters 1000,Clay,1st Round,Casper Ruud,Daniel Evans
Internazionali BNL d'Italia,2019-05-13,Masters 1000,Clay,1st Round,Denis Shapovalov,Pablo Carreno Busta
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,1st Round,Nick Kyrgios,Daniil Medvedev
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,2nd Round,Karen Khachanov,Roberto Bautista Agut
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,2nd Round,Matteo Berrettini,Alexander Zverev
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,2nd Round,Borna Coric,Cameron Norrie
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,2nd Round,Casper Ruud,Nick Kyrgios
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,2nd Round,Stefanos Tsitsipas,Jannik Sinner
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,2nd Round,Novak Djokovic,Denis Shapovalov
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,3rd Round,Diego Schwartzman,Matteo Berrettini
Internazionali BNL d'Italia,2019-05-18,Masters 1000,Clay,Semifinals,Rafael Nadal,Stefanos Tsitsipas
Internazionali BNL d'Italia,2019-05-18,Masters 1000,Clay,Semifinals,Novak Djokovic,Diego Schwartzman
Internazionali BNL d'Italia,2019-05-19,Masters 1000,Clay,The Final,Rafael Nadal,Novak Djokovic
Lyon Open,2019-05-23,ATP250,Clay,Quarterfinals,Taylor Fritz,Roberto Bautista Agut
French Open,2019-05-27,Grand Slam,Clay,1st Round,Novak Djokovic,Hubert Hurkacz
French Open,2019-05-29,Grand Slam,Clay,2nd Round,Casper Ruud,Matteo Berrettini
French Open,2019-05-29,Grand Slam,Clay,2nd Round,Grigor Dimitrov,Marin Cilic
French Open,2019-05-29,Grand Slam,Clay,2nd Round,Pablo Carreno Busta,Alex de Minaur
French Open,2019-05-30,Grand Slam,Clay,2nd Round,Roberto Bautista Agut,Taylor Fritz
French Open,2019-06-06,Grand Slam,Clay,Quarterfinals,Novak Djokovic,Alexander Zverev
Rosmalen Grass Court Championships,2019-06-12,ATP250,Grass,2nd Round,Borna Coric,Taylor Fritz
Mercedes Cup,2019-06-11,ATP250,Grass,1st Round,Matteo Berrettini,Nick Kyrgios
Mercedes Cup,2019-06-13,ATP250,Grass,2nd Round,Matteo Berrettini,Karen Khachanov
Mercedes Cup,2019-06-16,ATP250,Grass,The Final,Matteo Berrettini,Felix Auger-Aliassime
Halle Open,2019-06-17,ATP500,Grass,1st Round,Karen Khachanov,Miomir Kecmanovic
Halle Open,2019-06-18,ATP500,Grass,1st Round,Roberto Bautista Agut,Taylor Fritz
Halle Open,2019-06-21,ATP500,Grass,Quarterfinals,Matteo Berrettini,Karen Khachanov
Queen's Club Championships,2019-06-20,ATP500,Grass,1st Round,Felix Auger-Aliassime,Grigor Dimitrov
Queen's Club Championships,2019-06-20,ATP500,Grass,2nd Round,Diego Schwartzman,Marin Cilic
Queen's Club Championships,2019-06-20,ATP500,Grass,2nd Round,Felix Auger-Aliassime,Nick Kyrgios
