Tournament,Date,Series,Surface,Round,Winner,Loser
Open Banco Sabadell ,2018-04-29,ATP500,Clay,The Final,Rafael Nadal,Stefanos Tsitsipas
Millennium Estoril Open,2018-05-05,ATP250,Clay,Semifinals,Frances Tiafoe,Pablo Carreno Busta
BMW Open,2018-05-03,ATP250,Clay,2nd Round,Roberto Bautista Agut,Casper Ruud
Mutua Madrid Open,2018-05-08,Masters 1000,Clay,1st Round,Borna Coric,Pablo Carreno Busta
Mutua Madrid Open,2018-05-10,Masters 1000,Clay,3rd Round,Rafael Nadal,Diego Schwartzman
Mutua Madrid Open,2018-05-12,Masters 1000,Clay,Semifinals,Alexander Zverev,Denis Shapovalov
Internazionali BNL d'Italia,2018-05-14,Masters 1000,Clay,1st Round,Matteo Berrettini,Frances Tiafoe
Internazionali BNL d'Italia,2018-05-15,Masters 1000,Clay,1st Round,Stefanos Tsitsipas,Borna Coric
Internazionali BNL d'Italia,2018-05-16,Masters 1000,Clay,2nd Round,Alexander Zverev,Matteo Berrettini
Internazionali BNL d'Italia,2018-05-17,Masters 1000,Clay,3rd Round,Rafael Nadal,Denis Shapovalov
Internazionali BNL d'Italia,2018-05-18,Masters 1000,Clay,Quarterfinals,Marin Cilic,Pablo Carreno Busta
Internazionali BNL d'Italia,2018-05-19,Masters 1000,Clay,Semifinals,Rafael Nadal,Novak Djokovic
Internazionali BNL d'Italia,2018-05-19,Masters 1000,Clay,Semifinals,Alexander Zverev,Marin Cilic
Internazionali BNL d'Italia,2018-05-20,Masters 1000,Clay,The Final,Rafael Nadal,Alexander Zverev
French Open,2018-05-31,Grand Slam,Clay,2nd Round,Marin Cilic,Hubert Hurkacz
French Open,2018-06-01,Grand Slam,Clay,3rd Round,Novak Djokovic,Roberto Bautista Agut
French Open,2018-06-02,Grand Slam,Clay,3rd Round,Diego Schwartzman,Borna Coric
French Open,2018-06-03,Grand Slam,Clay,4th Round,Alexander Zverev,Karen Khachanov
French Open,2018-06-07,Grand Slam,Clay,Quarterfinals,Rafael Nadal,Diego Schwartzman
Gerry Weber Open,2018-06-19,ATP500,Grass,1st Round,Karen Khachanov,Alexander Zverev
Gerry Weber Open,2018-06-19,ATP500,Grass,1st Round,Borna Coric,Alexander Zverev
Gerry Weber Open,2018-06-22,ATP500,Grass,Quarterfinals,Roberto Bautista Agut,Karen Khachanov
Gerry Weber Open,2018-06-23,ATP500,Grass,Semifinals,Borna Coric,Roberto Bautista Agut
AEGON Championships,2018-06-21,ATP500,Grass,2nd Round,Novak Djokovic,Grigor Dimitrov
AEGON Championships,2018-06-23,ATP500,Grass,Semifinals,Marin Cilic,Nick Kyrgios
AEGON Championships,2018-06-24,ATP500,Grass,The Final,Marin Cilic,Novak Djokovic
Eastbourne International,2018-06-28,ATP250,Grass,Quarterfinals,Alexander Zverev,Denis Shapovalov
Wimbledon,2018-07-02,Grand Slam,Grass,1st Round,Daniil Medvedev,Borna Coric
Wimbledon,2018-07-06,Grand Slam,Grass,2nd Round,Alexander Zverev,Taylor Fritz
Wimbledon,2018-07-07,Grand Slam,Grass,3rd Round,Rafael Nadal,Alex de Minaur
Wimbledon,2018-07-07,Grand Slam,Grass,3rd Round,Karen Khachanov,Frances Tiafoe
Wimbledon,2018-07-09,Grand Slam,Grass,4th Round,Novak Djokovic,Karen Khachanov
Wimbledon,2018-07-14,Grand Slam,Grass,Semifinals,Novak Djokovic,Rafael Nadal
Croatia Open,2018-07-19,ATP250,Clay,2nd Round,Andrey Rublev,Felix Auger-Aliassime
BB&T Atlanta Open,2018-07-23,ATP250,Hard,1st Round,Alex de Minaur,Hubert Hurkacz
BB&T Atlanta Open,2018-07-28,ATP250,Hard,Quarterfinals,Cameron Norrie,Nick Kyrgios
Suisse Open Gstaad,2018-07-25,ATP250,Clay,2nd Round,Matteo Berrettini,Andrey Rublev
Suisse Open Gstaad,2018-07-29,ATP250,Clay,The Final,Matteo Berrettini,Roberto Bautista Agut
German Tennis Championships,2018-07-23,ATP500,Clay,1st Round,Diego Schwartzman,Casper Ruud
Citi Open,2018-08-01,ATP500,Hard,2nd Round,Frances Tiafoe,Hubert Hurkacz
Citi Open,2018-08-01,ATP500,Hard,2nd Round,Denis Shapovalov,Daniil Medvedev
Citi Open,2018-08-02,ATP500,Hard,2nd Round,Andrey Rublev,Tommy Paul
Citi Open,2018-08-03,ATP500,Hard,3rd Round,Alexander Zverev,Alexander Zverev
Citi Open,2018-08-04,ATP500,Hard,Semifinals,Alexander Zverev,Stefanos Tsitsipas
Citi Open,2018-08-05,ATP500,Hard,Semifinals,Alex de Minaur,Andrey Rublev
Citi Open,2018-08-05,ATP500,Hard,The Final,Alexander Zverev,Alex de Minaur
Rogers Masters,2018-08-08,Masters 1000,Hard,2nd Round,Marin Cilic,Borna Coric
Rogers Masters,2018-08-08,Masters 1000,Hard,2nd Round,Karen Khachanov,Pablo Carreno Busta
Rogers Masters,2018-08-09,Masters 1000,Hard,2nd Round,Daniil Medvedev,Felix Auger-Aliassime
Rogers Masters,2018-08-09,Masters 1000,Hard,3rd Round,Grigor Dimitrov,Frances Tiafoe
Rogers Masters,2018-08-09,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Novak Djokovic
Rogers Masters,2018-08-09,Masters 1000,Hard,3rd Round,Marin Cilic,Diego Schwartzman
Rogers Masters,2018-08-09,Masters 1000,Hard,3rd Round,Alexander Zverev,Daniil Medvedev
Rogers Masters,2018-08-10,Masters 1000,Hard,Quarterfinals,Stefanos Tsitsipas,Alexander Zverev
Rogers Masters,2018-08-11,Masters 1000,Hard,Quarterfinals,Rafael Nadal,Marin Cilic
Rogers Masters,2018-08-12,Masters 1000,Hard,Semifinals,Rafael Nadal,Karen Khachanov
